SepalLength,SepalWidth,PetalLength,PetalWidth,Species
7.303274553127926,2.4750252534128063,2.1760486154633614,0.6950029791866986,Setosa
7.556927655410556,2.987381008530221,1.9215846218548323,1.1726148049564784,Versicolor
5.254016373665658,2.0935160238309827,3.672563875820435,0.5504235628446024,Virginica
6.409620271630198,2.2110415805023966,1.812868616156213,1.745372347536642,Versicolor
7.684009282474685,4.05647876106516,4.244270339038861,0.7721478117474837,Setosa
6.42251772550835,4.032260738337522,1.8594778665346492,1.559467630811568,Virginica
7.841052713934737,4.047467665644653,1.6867719724721089,0.455375348966631,Setosa
5.369546144793075,4.001910728048495,2.0349797535616467,1.5149976937709162,Virginica
7.4855550113154425,2.1578974999942813,6.384229363054919,2.4256744802578916,Setosa
4.781220298949324,3.715647939785922,3.7185180677843928,0.9674803137800615,Virginica
6.163901635329392,2.2080716805939535,1.6535758274097854,1.8186600058415336,Virginica
7.2717114906114855,2.103083753998487,5.983380101921765,0.4990223418834612,Versicolor
4.668608382778993,2.359761972731239,5.406349137966818,1.467767092855209,Versicolor
7.880377470600555,2.032034462707501,4.923938860276063,1.2549595960634334,Virginica
5.161007082395693,2.1088237702872648,2.2488081047299646,0.1082117400691181,Setosa
7.866695604577032,3.148141875703586,2.835834841923626,0.9898548853722638,Virginica
5.408765530895215,3.9580088100554507,6.424216665939462,2.3404949747057873,Setosa
5.850162367906942,2.474045174217339,3.435533089987415,1.5536510296267934,Versicolor
7.827763529791659,2.37229167801674,5.968919023113916,1.4465123361959362,Versicolor
6.650334851376716,2.665678693171422,3.8665960823475145,1.8344369224173394,Setosa
